ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados,Minutos Totales
335090,"Action, Indie, Racing","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '16 Jan, 2015'}",0.0,1,499,0,16/01/2015 00:00,3370,750
335100,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Includes level editor, Family Sharing","{'date': '23 Dec, 2014'}",1.0,1,99,0,23/12/2014 00:00,3394,183
335200,"Action, Adventure","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'date': '17 Apr, 2015'}",1.0,1,699,0,17/04/2015 00:00,3279,259
335840,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '6 Feb, 2015'}",0.0,1,499,0,06/02/2015 00:00,3349,51
335920,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '3 Feb, 2015'}",0.0,1,0,0,03/02/2015 00:00,3352,56
336060,"Action, Casual","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '13 Feb, 2015'}",0.0,1,499,0,13/02/2015 00:00,3342,22
336080,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '5 Mar, 2015'}",0.0,1,999,0,05/03/2015 00:00,3322,429
336090,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Steam Turn Notifications, Includes level editor, Commentary available, Remote Play Together, Family Sharing","{'date': '16 Dec, 2014'}",1.0,5,999,0,16/12/2014 00:00,3401,751
336250,"Action, Racing, Sports","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '10 Jun, 2015'}",0.0,2,0,0,10/06/2015 00:00,3225,422
336710,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","{'date': '29 Jan, 2015'}",0.0,2,599,0,29/01/2015 00:00,3357,489
336730,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","{'date': '29 Jan, 2015'}",0.0,2,599,0,29/01/2015 00:00,3357,516
337180,Action,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '19 Aug, 2015'}",0.0,1,0,0,19/08/2015 00:00,3155,271
337270,"Adventure, Casual, Indie, RPG","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '8 Jan, 2015'}",1.0,1,499,0,08/01/2015 00:00,3378,72
337210,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Family Sharing","{'date': '10 Aug, 2015'}",0.0,1,299,0,10/08/2015 00:00,3164,256
337730,"Action, Casual, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing","{'date': '17 Mar, 2015'}",1.0,2,999,0,17/03/2015 00:00,3310,269
338110,"Adventure, Casual","Single-player, Captions available, Family Sharing","{'date': '12 Jan, 2015'}",0.0,1,399,0,12/01/2015 00:00,3374,90
338120,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '12 Nov, 2015'}",0.0,3,1499,0,12/11/2015 00:00,3070,1524
338130,Strategy,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Remote Play Together, Family Sharing","{'date': '22 Apr, 2016'}",1.0,4,999,0,22/04/2016 00:00,2908,1018
338140,"Action, Adventure, Indie, RPG","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '23 Jan, 2015'}",0.0,1,999,0,23/01/2015 00:00,3363,181
338190,"Action, Adventure, Casual, Indie, Racing","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '30 Jan, 2015'}",0.0,2,499,0,30/01/2015 00:00,3356,161
338310,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Family Sharing","{'date': '8 Apr, 2016'}",0.0,1,1999,0,08/04/2016 00:00,2922,331
338320,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '6 Feb, 2015'}",0.0,4,99,0,06/02/2015 00:00,3349,1425
338330,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '24 Dec, 2018'}",1.0,1,79,0,24/12/2018 00:00,1932,212
338760,"Action, Indie","Single-player, Full controller support, Steam Trading Cards, Family Sharing","{'date': '17 Sep, 2015'}",0.0,3,499,0,17/09/2015 00:00,3126,921
332530,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '25 Aug, 2015'}",1.0,1,499,0,25/08/2015 00:00,3149,215
338830,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '29 Dec, 2014'}",0.0,1,99,0,29/12/2014 00:00,3388,242
338930,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '6 Oct, 2015'}",0.0,2,4999,0,06/10/2015 00:00,3107,262
222180,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '10 Mar, 2015'}",0.0,1,299,0,10/03/2015 00:00,3317,76
339460,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on TV, Family Sharing","{'date': '30 Mar, 2015'}",0.0,1,1199,0,30/03/2015 00:00,3297,150
339500,"Action, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Includes level editor, Family Sharing","{'date': '8 Jan, 2015'}",0.0,1,499,0,08/01/2015 00:00,3378,151
339590,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '2 Jun, 2017'}",0.0,4,99,0,02/06/2017 00:00,2502,629
339690,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Includes level editor, Remote Play Together, Family Sharing","{'date': '31 Mar, 2015'}",1.0,1,999,0,31/03/2015 00:00,3296,451
339710,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '23 Nov, 2016'}",0.0,1,99,0,23/11/2016 00:00,2693,141
339820,"RPG, Early Access","Single-player, Steam Trading Cards, Family Sharing","{'date': '23 Dec, 2014'}",0.0,1,399,0,23/12/2014 00:00,3394,246
337150,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play Together, Family Sharing","{'date': '22 Dec, 2014'}",1.0,5,999,0,22/12/2014 00:00,3395,1072
340000,Action,"Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '25 Jul, 2016'}",0.0,1,1999,0,25/07/2016 00:00,2814,216
340030,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '23 Jun, 2016'}",0.0,1,499,0,23/06/2016 00:00,2846,262
340280,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '8 Jan, 2015'}",0.0,2,199,0,08/01/2015 00:00,3378,65
340330,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '20 Jan, 2015'}",1.0,1,399,0,20/01/2015 00:00,3366,138
340340,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '10 Apr, 2015'}",0.0,1,499,0,10/04/2015 00:00,3286,97
340360,"Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '25 Jun, 2015'}",0.0,1,799,0,25/06/2015 00:00,3210,173
340390,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '13 Feb, 2015'}",0.0,1,0,0,13/02/2015 00:00,3342,98
340440,"Action, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '20 Jul, 2018'}",1.0,1,499,0,20/07/2018 00:00,2089,104
340470,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '19 Feb, 2015'}",0.0,1,99,0,19/02/2015 00:00,3336,146
340490,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '21 Jan, 2016'}",0.0,3,1699,0,21/01/2016 00:00,3000,516
340570,"Casual, Indie, Simulation, Strategy, Early Access","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing","{'date': '2 Jan, 2015'}",1.0,1,299,0,02/01/2015 00:00,3384,51
340580,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '1 Jun, 2017'}",1.0,2,249,0,01/06/2017 00:00,2503,372
340720,"Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '30 Jan, 2015'}",0.0,1,699,0,30/01/2015 00:00,3356,50
340860,"Action, Indie, Simulation","Single-player, VR Supported, Steam Trading Cards, VR Support, Partial Controller Support, Family Sharing","{'date': '1 Jun, 2015'}",0.0,1,1999,0,01/06/2015 00:00,3234,196
341270,"Indie, RPG, Early Access","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '18 Mar, 2016'}",0.0,1,499,0,18/03/2016 00:00,2943,381
341380,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing","{'date': '9 Jan, 2015'}",0.0,1,99,0,09/01/2015 00:00,3377,82
341470,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '23 Jan, 2015'}",0.0,2,699,0,23/01/2015 00:00,3363,1034
341530,"Action, Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing","{'date': '30 Jan, 2015'}",1.0,2,399,0,30/01/2015 00:00,3356,322
341690,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '25 Feb, 2015'}",0.0,1,299,0,25/02/2015 00:00,3330,56
340750,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '14 Jan, 2015'}",1.0,2,899,0,14/01/2015 00:00,3372,324
341780,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '16 Jan, 2015'}",0.0,1,0,0,16/01/2015 00:00,3370,214
341870,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","{'date': '21 Jul, 2015'}",0.0,1,1499,0,21/07/2015 00:00,3184,37
