Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas,Precio
3471,336760,"Adventure, Casual","Single-player, Family Sharing","{'coming_soon': False, 'date': '18 Dec, 2014'}",2014-12-18 00:00:00,3394,0.0,0,499
3472,977950,Indie,"Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '24 Jan, 2019'}",2019-01-24 00:00:00,1896,0.0,1351,599
3473,1644960,"Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Remote Play on Tablet, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '9 Sep, 2021'}",2021-09-09 00:00:00,937,1.0,1030,0
3474,1137970,"Action, Adventure","Single-player, Multi-player, Co-op, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '29 Jun, 2021'}",2021-06-29 00:00:00,1009,1.0,2,1499
3475,1778820,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Jan, 2024'}",2024-01-25 00:00:00,69,1.0,10950,6999
3476,1670,Strategy,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '26 Jul, 2006'}",2006-07-26 00:00:00,6461,1.0,0,119
3477,15120,Action,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '16 Apr, 2008'}",2008-04-16 00:00:00,5831,1.0,21,999
3478,424030,"Action, Indie, Simulation, Strategy, Early Access","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '3 Dec, 2018'}",2018-12-03 00:00:00,1948,1.0,218,2999
3479,589290,"Action, Indie, Massively Multiplayer, Simulation, Strategy","Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Stats, Steam Leaderboards, Includes level editor","{'coming_soon': False, 'date': '5 Mar, 2020'}",2020-03-05 00:00:00,1490,1.0,181,1999
3480,871530,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '10 Oct, 2019'}",2019-10-10 00:00:00,1637,0.0,8,1999
3481,979920,"Free to Play, Massively Multiplayer, Simulation, Strategy","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases, Stats","{'coming_soon': False, 'date': '16 Jul, 2019'}",2019-07-16 00:00:00,1723,1.0,230,0
3482,1206240,"Action, Massively Multiplayer, Simulation","Multi-player, PvP, Online PvP, LAN PvP","{'coming_soon': False, 'date': '2 Apr, 2020'}",2020-04-02 00:00:00,1462,1.0,0,0
3483,232770,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '14 Nov, 1997'}",1997-11-14 00:00:00,9637,0.0,17,6795
3484,1611600,"Action, Indie, Simulation, Strategy, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '20 Jan, 2022'}",2022-01-20 00:00:00,804,1.0,623,3999
3485,1911390,"Action, Indie, Racing","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing","{'coming_soon': False, 'date': '1 Apr, 2022'}",2022-04-01 00:00:00,733,1.0,2,299
3486,16900,"Action, Indie, Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '14 Aug, 2018'}",2018-08-14 00:00:00,2059,1.0,430,2999
3487,2306590,"Action, Casual, Indie, Massively Multiplayer, Strategy, Early Access","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '24 Mar, 2023'}",2023-03-24 00:00:00,376,1.0,2,199
3488,2131630,Action,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '24 Oct, 2023'}",2023-10-24 00:00:00,162,0.0,49,1999
3489,2131640,Action,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '24 Oct, 2023'}",2023-10-24 00:00:00,162,0.0,73,1999
3490,2131650,Action,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '24 Oct, 2023'}",2023-10-24 00:00:00,162,0.0,106,1999
3491,606280,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '27 Nov, 2018'}",2018-11-27 00:00:00,1954,0.0,64,999
3492,606880,RPG,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '9 Sep, 2019'}",2019-09-09 00:00:00,1668,0.0,75,3499
3493,611360,"Action, Free to Play, Indie, Early Access","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, In-App Purchases, Family Sharing","{'coming_soon': False, 'date': '18 Jul, 2022'}",2022-07-18 00:00:00,625,1.0,1,
3494,710920,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '5 Dec, 2019'}",2019-12-05 00:00:00,1581,1.0,69,749
3495,928960,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '7 Apr, 2022'}",2022-04-07 00:00:00,727,1.0,28,3999
3496,955050,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Mar, 2020'}",2020-03-25 00:00:00,1470,0.0,7,799
3497,1178830,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '11 Nov, 2021'}",2021-11-11 00:00:00,874,0.0,49,1999
3498,1008710,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Commentary available, Family Sharing","{'coming_soon': False, 'date': '30 Jan, 2019'}",2019-01-30 00:00:00,1890,0.0,0,99
3499,794260,RPG,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '17 May, 2022'}",2022-05-17 00:00:00,687,1.0,420,3999
