Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas,Precio
0,461640,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",,-1,2457,0.0,1,55
1,730,"Action, Free to Play","Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",,-1,2457,1.0,708661,0
2,578080,"Action, Adventure, Massively Multiplayer, Free to Play","Multi-player, PvP, Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet",,-1,2457,1.0,166412,0
3,570,"Action, Strategy, Free to Play","Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Valve Anti-Cheat enabled",,-1,2457,1.0,272098,0
4,42690,,,,-1,2457,,49,3999
5,235600,"Action, Adventure","Single-player, Multi-player, Co-op",,-1,2457,1.0,34,2999
6,364470,Free to Play,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases",,-1,2457,1.0,124,0
7,386360,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free to Play","Multi-player, Steam Achievements, Full controller support, Steam Trading Cards",,-1,2457,1.0,11380,0
8,444200,"Action, Massively Multiplayer, Free to Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases",,-1,2457,1.0,3523,0
9,601510,"Strategy, Free to Play","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",,-1,2457,1.0,3354,0
10,386180,"Action, Massively Multiplayer, Racing, Free to Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Tablet, Remote Play on TV",,-1,2457,1.0,1140,0
11,813820,"Action, Free to Play, Early Access","Multi-player, PvP, Online PvP, Partial Controller Support",,-1,2457,1.0,162,0
12,10,Action,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Family Sharing","{'coming_soon': False, 'date': '1 Nov, 2000'}",2000-11-01 00:00:00,8554,1.0,4832,999
13,714010,"Action, Adventure, Casual, Indie, Simulation, Free to Play","Single-player, Steam Achievements, Full controller support, Steam Workshop, Stats, Steam Leaderboards",,-1,2457,0.0,6038,0
14,1556200,Action,"Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Partial Controller Support, Family Sharing",,-1,2457,1.0,44,2999
15,550,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",,-1,2457,1.0,24098,999
16,207610,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",,-1,2457,0.0,109,1499
17,239030,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Family Sharing",,-1,2457,0.0,599,999
