ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer
1118240,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Family Sharing",,0.0
1135690,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0.0
1160920,"Casual, Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",,0.0
1172470,"Action, Adventure, Free to Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases",,1.0
1190970,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing",,0.0
1194630,Adventure,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",,1.0
1196590,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing","{'coming_soon': False, 'date': '6/mai./2021'}",0.0
1174180,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet","{'coming_soon': False, 'date': '5 дек. 2019 r.'}",1.0
1218280,"Action, Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",,1.0
1222140,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '18/jun./2020'}",0.0
1222670,"Adventure, Casual, Simulation, Free to Play","Single-player, Steam Trading Cards, Remote Play on Tablet","{'coming_soon': False, 'date': '18 Jun, 2020'}",0.0
442070,"Casual, Indie, Strategy","Multi-player, PvP, Shared/Split Screen PvP, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",,1.0
1281590,Adventure,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",,1.0
1332010,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",,0.0
860510,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '10 Feb, 2021'}",0.0
1421250,"Adventure, Indie, Early Access","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0.0
1563180,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing",,0.0
1567020,Adventure,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing",,1.0
1585220,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing",,0.0
1593500,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",,0.0
1609080,"Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",,0.0
1629520,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0.0
1651560,"Casual, Simulation, Strategy, Early Access","Single-player, Steam Cloud, Family Sharing",,0.0
1659040,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Family Sharing",,0.0
990080,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, HDR available, Family Sharing",,0.0
2200780,"Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing",,0.0
2249160,"Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",,0.0
2357570,"Action, Free to Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases",,1.0
2667970,"Action, Adventure, Casual, Indie, RPG, Simulation, Sports, Strategy, Free to Play","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases",,0.0
2670630,"Casual, Indie, Simulation, Early Access","Single-player, Steam Achievements, Family Sharing",,0.0
130,Action,"Single-player, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '1 Jun, 2001'}",0.0
1200,Action,"Multi-player, Steam Achievements, Valve Anti-Cheat enabled, Family Sharing","{'coming_soon': False, 'date': '14 Mar, 2006'}",1.0
3810,Action,"Single-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '14 Sep, 2006'}",0.0
3970,,,,
2620,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '13 Oct, 2006'}",1.0
2630,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '13 Oct, 2006'}",1.0
2640,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '13 Oct, 2006'}",1.0
1520,"Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '29 Sep, 2006'}",1.0
6220,Racing,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '2 Feb, 2007'}",1.0
2990,Racing,"Single-player, Family Sharing","{'coming_soon': False, 'date': '21 Dec, 2006'}",0.0
