Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas
678,1346070,"Action, Adventure, Indie, Massively Multiplayer","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '1 Oct, 2020'}",2020-10-01 00:00:00,1280,1.0,0
679,408900,"Action, Free to Play, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support","{'coming_soon': False, 'date': '12 Jun, 2020'}",2020-06-12 00:00:00,1391,1.0,8
680,1361000,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2021'}",2021-10-29 00:00:00,887,1.0,12
681,1404210,"Action, Adventure","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '1 Dec, 2020'}",2020-12-01 00:00:00,1219,1.0,1895
682,1453490,"Casual, Free to Play, Indie, Simulation, Strategy","Multi-player, PvP, Online PvP, Co-op, Online Co-op","{'coming_soon': False, 'date': '10 Feb, 2022'}",2022-02-10 00:00:00,783,1.0,78
683,1590320,"Action, Casual, Free to Play, Indie, Massively Multiplayer, Racing","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, In-App Purchases, Steam Cloud","{'coming_soon': False, 'date': '30 Dec, 2021'}",2021-12-30 00:00:00,825,1.0,29
684,625340,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Strategy, Free to Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards, In-App Purchases","{'coming_soon': False, 'date': '26 Sep, 2021'}",2021-09-26 00:00:00,920,1.0,49
685,1928420,"Action, Adventure, Massively Multiplayer, Free to Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, In-App Purchases","{'coming_soon': False, 'date': '21 Sep, 2023'}",2023-09-21 00:00:00,195,1.0,3172
686,1977530,"Casual, Simulation, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Stats","{'coming_soon': False, 'date': '30 sierpnia 2022'}",-1,2457,1.0,301
687,1987080,"Adventure, Indie, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Tracked Controller Support, VR Supported, Steam Workshop, Family Sharing","{'coming_soon': False, 'date': '20 Jun, 2022'}",2022-06-20 00:00:00,653,1.0,319
688,72850,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '10 Nov, 2011'}",2011-11-10 00:00:00,4528,0.0,1218
689,11020,Racing,"Single-player, Multi-player, Includes level editor","{'coming_soon': False, 'date': '16 Apr, 2008'}",2008-04-16 00:00:00,5831,1.0,142
690,295110,"Action, Adventure, Massively Multiplayer","Multi-player, MMO, Steam Trading Cards","{'coming_soon': False, 'date': '15 Jan, 2015'}",2015-01-15 00:00:00,3366,1.0,3
691,304050,"Action, Adventure, Casual, Massively Multiplayer, RPG, Free to Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Partial Controller Support","{'coming_soon': False, 'date': '9 Jul, 2015'}",2015-07-09 00:00:00,3191,1.0,1083
692,438040,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Free to Play","Single-player, Multi-player, MMO, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases","{'coming_soon': False, 'date': '24 Feb, 2016'}",2016-02-24 00:00:00,2961,1.0,713
693,489940,"Action, Free to Play","Multi-player, PvP, Online PvP","{'coming_soon': False, 'date': '23 May, 2019'}",2019-05-23 00:00:00,1777,1.0,1
694,454650,"Action, Adventure, Casual, Massively Multiplayer","Single-player, Multi-player, MMO, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '27 Oct, 2016'}",2016-10-27 00:00:00,2715,1.0,1678
695,814380,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '21 Mar, 2019'}",2019-03-21 00:00:00,1840,0.0,8663
696,1070330,"Action, Indie, Simulation, Sports, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '17 May, 2019'}",2019-05-17 00:00:00,1783,1.0,3
697,1173370,"Action, Casual, Indie, Sports, Free to Play, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats","{'coming_soon': False, 'date': '7 Dec, 2020'}",2020-12-07 00:00:00,1213,1.0,358
698,933110,"Free to Play, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud","{'coming_soon': False, 'date': '15 Oct, 2020'}",2020-10-15 00:00:00,1266,1.0,3293
699,19900,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '22 Oct, 2008'}",2008-10-22 00:00:00,5642,1.0,44
700,45740,"Action, Adventure","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '27 Sep, 2010'}",2010-09-27 00:00:00,4937,1.0,74
701,57300,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '8 Sep, 2010'}",2010-09-08 00:00:00,4956,0.0,27
