ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas
2333480,"Massively Multiplayer, RPG, Strategy, Free to Play","Single-player, Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '9 Jan, 2024'}",1.0,561
2349820,"Action, Adventure, Massively Multiplayer, RPG, Free to Play","Multi-player, MMO, PvP, Online PvP, Steam Achievements, In-App Purchases, Remote Play Together","{'coming_soon': False, 'date': '17 May, 2023'}",1.0,9643
2368470,"Casual, Indie, Free to Play","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards","{'coming_soon': False, 'date': '16 Nov, 2023'}",0.0,45
544610,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '31 Aug, 2017'}",1.0,82
226620,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '18 Apr, 2023'}",0.0,20
2391710,"Action, Adventure, Casual, Indie, RPG, Simulation, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud","{'coming_soon': False, 'date': '10 Nov, 2023'}",1.0,93
1092040,"Action, Indie","Single-player, Full controller support","{'coming_soon': False, 'date': '15 Dec, 2020'}",0.0,0
443910,Simulation,"Single-player, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '16 Jun, 2016'}",0.0,3
2484110,"Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases","{'coming_soon': False, 'date': '6 Dec, 2023'}",1.0,1635
2529130,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud","{'coming_soon': False, 'date': '31 Aug, 2023'}",0.0,18
2594640,"Action, Adventure, RPG, Simulation",Single-player,"{'coming_soon': False, 'date': '8 Dec, 2023'}",0.0,41
2140510,"Casual, Indie, RPG, Strategy, Free to Play","Multi-player, PvP, Online PvP, Steam Achievements, In-App Purchases","{'coming_soon': False, 'date': '25 Aug, 2023'}",1.0,544
630360,"Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Captions available","{'coming_soon': False, 'date': '19 Jul, 2017'}",0.0,0
1188260,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud","{'coming_soon': False, 'date': '22 Dec, 2019'}",0.0,5
1035510,"Action, Adventure, Casual, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '8 Dec, 2020'}",1.0,40
311250,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, VR Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '17 Sep, 2014'}",0.0,0
334670,,,,,0
