ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados
977690,"Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Family Sharing",,1,0,999,0,,-1,708
1363430,Action,"Single-player, Tracked Controller Support, VR Only",,0,31,0,0,,-1,708
214170,RPG,"Single-player, Family Sharing",,0,34,599,0,,-1,708
224440,"Indie, RPG, Simulation, Strategy, Early Access","Single-player, Steam Workshop, Family Sharing",,0,0,0,0,,-1,708
207930,Action,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Stats, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",,1,2,999,0,,-1,708
252290,"Adventure, Indie","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Stats, Family Sharing",,0,0,0,0,,-1,708
290320,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",,0,0,1499,0,,-1,708
293940,"Action, Indie, Simulation, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",,1,0,499,0,,-1,708
297060,"Action, Indie, Strategy","Single-player, Partial Controller Support, Family Sharing",,0,0,999,0,,-1,708
301220,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Includes level editor, Family Sharing",,0,0,1999,0,,-1,708
219760,RPG,"Single-player, Family Sharing",,0,4,599,0,,-1,708
312200,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",,0,4,1999,0,,-1,708
253510,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards",,1,0,1999,0,,-1,708
323060,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",,0,4,1499,0,,-1,708
339200,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",,0,3,1499,0,,-1,708
368720,"Action, Adventure, Indie, Simulation, Early Access","Single-player, Steam Trading Cards, Family Sharing",,0,0,499,0,,-1,708
