ID del juego,Géneros,Categorías,Multiplayer
850170,"Action, Strategy, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases",1.0
866510,"Adventure, Casual, Indie","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing",1.0
820030,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Family Sharing",0.0
967250,"Action, Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",0.0
703880,"Action, Indie, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",1.0
994910,"Casual, Massively Multiplayer, Simulation, Strategy, Free to Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",1.0
1013320,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Free to Play, Early Access","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet",1.0
500710,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",1.0
1098340,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
1015500,"Simulation, Sports","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",1.0
1245610,"Casual, Free to Play, Massively Multiplayer","Multi-player, MMO, Co-op, Online Co-op, In-App Purchases",1.0
287630,"Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV",0.0
1333350,"Adventure, RPG, Strategy, Free to Play","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases",1.0
1463920,"Casual, Indie, Free to Play","Single-player, Steam Achievements, Steam Cloud",0.0
1535560,"Casual, Free to Play, Indie, RPG, Simulation, Early Access","Single-player, Steam Achievements, In-App Purchases",0.0
1540960,"Free to Play, Indie, Strategy","Single-player, Steam Achievements, In-App Purchases, Steam Cloud",0.0
1269260,Strategy,"Single-player, Multi-player, PvP, Online PvP, Family Sharing",1.0
1641650,"Free to Play, Simulation","Single-player, Multi-player, PvP, Online PvP, In-App Purchases",1.0
1022310,"Casual, Strategy","Multi-player, PvP, Online PvP, Family Sharing",1.0
1353300,"Casual, Indie, Strategy, Free to Play","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases",0.0
1690710,"Adventure, Indie, RPG, Strategy, Free to Play, Early Access","Single-player, Steam Achievements, In-App Purchases, Steam Cloud",0.0
1777760,"Free to Play, Sports","Single-player, Steam Achievements, In-App Purchases",0.0
937310,"Free to Play, Indie, Strategy","Single-player, Steam Achievements, Includes level editor",0.0
1878910,"Casual, Indie, Simulation","Single-player, Steam Cloud",0.0
1891700,"Action, Casual, Indie, RPG, Free to Play","Single-player, Steam Achievements, In-App Purchases, Steam Cloud",0.0
1964220,"Adventure, Casual, Indie, RPG, Simulation, Free to Play","Single-player, Steam Achievements, In-App Purchases, Stats",0.0
1985170,"Strategy, Free to Play, Early Access","Single-player, Multi-player, PvP, Online PvP, In-App Purchases",1.0
1990690,"Casual, Simulation, Free to Play","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats",0.0
2066550,"Casual, Free to Play, Indie, Simulation","Single-player, Steam Achievements",0.0
2067850,"Action, Adventure, Free to Play, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases",1.0
1117350,Action,"Multi-player, PvP, Online PvP, Family Sharing",1.0
1582500,"Indie, Strategy, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",1.0
2333480,"Massively Multiplayer, RPG, Strategy, Free to Play","Single-player, Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases",1.0
2349820,"Action, Adventure, Massively Multiplayer, RPG, Free to Play","Multi-player, MMO, PvP, Online PvP, Steam Achievements, In-App Purchases, Remote Play Together",1.0
2368470,"Casual, Indie, Free to Play","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards",0.0
544610,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",1.0
226620,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",0.0
2391710,"Action, Adventure, Casual, Indie, RPG, Simulation, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud",1.0
1092040,"Action, Indie","Single-player, Full controller support",0.0
443910,Simulation,"Single-player, Full controller support, Steam Cloud, Family Sharing",0.0
2484110,"Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",1.0
2529130,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud",0.0
2594640,"Action, Adventure, RPG, Simulation",Single-player,0.0
2140510,"Casual, Indie, RPG, Strategy, Free to Play","Multi-player, PvP, Online PvP, Steam Achievements, In-App Purchases",1.0
630360,"Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Captions available",0.0
1188260,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud",0.0
1035510,"Action, Adventure, Casual, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",1.0
311250,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, VR Support, Steam Cloud, Family Sharing",0.0
334670,,,
7860,Action,"Single-player, Multi-player, Steam Cloud, Family Sharing",1.0
32330,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",1.0
21120,Action,"Single-player, Family Sharing",0.0
42670,Action,"Single-player, Multi-player, Family Sharing",1.0
99810,,,
63950,Simulation,"Single-player, Multi-player, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Family Sharing",1.0
57900,Action,"Single-player, Multi-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",1.0
12130,Action,"Single-player, Family Sharing",0.0
212630,Action,"Single-player, Multi-player, Co-op",1.0
4720,Action,"Single-player, Family Sharing",0.0
3270,Action,"Single-player, Multi-player, Family Sharing",1.0
6920,Action,"Single-player, Full controller support, Family Sharing",0.0
6980,Action,"Single-player, Full controller support, Family Sharing",0.0
8080,Action,"Single-player, Multi-player, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing",1.0
242960,Action,"Single-player, Family Sharing",0.0
407810,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing",0.0
259170,"Action, Adventure","Single-player, Family Sharing",0.0
460810,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0.0
