ID del juego,Géneros,Categorías,Fecha de Lanzamiento
937310,"Free to Play, Indie, Strategy","Single-player, Steam Achievements, Includes level editor","{'coming_soon': False, 'date': '6 May, 2021'}"
1878910,"Casual, Indie, Simulation","Single-player, Steam Cloud","{'coming_soon': False, 'date': '13 Jan, 2023'}"
1891700,"Action, Casual, Indie, RPG, Free to Play","Single-player, Steam Achievements, In-App Purchases, Steam Cloud","{'coming_soon': False, 'date': '17 Mar, 2022'}"
1964220,"Adventure, Casual, Indie, RPG, Simulation, Free to Play","Single-player, Steam Achievements, In-App Purchases, Stats","{'coming_soon': False, 'date': '23 Aug, 2022'}"
1985170,"Strategy, Free to Play, Early Access","Single-player, Multi-player, PvP, Online PvP, In-App Purchases","{'coming_soon': False, 'date': '19 Oct, 2023'}"
1990690,"Casual, Simulation, Free to Play","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats","{'coming_soon': False, 'date': '2 Feb, 2023'}"
2066550,"Casual, Free to Play, Indie, Simulation","Single-player, Steam Achievements","{'coming_soon': False, 'date': '26 Jul, 2022'}"
2067850,"Action, Adventure, Free to Play, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases","{'coming_soon': False, 'date': '16 May, 2023'}"
1117350,Action,"Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': '24 Jan, 2023'}"
1582500,"Indie, Strategy, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing","{'coming_soon': False, 'date': '20 Oct, 2022'}"
2333480,"Massively Multiplayer, RPG, Strategy, Free to Play","Single-player, Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '9 Jan, 2024'}"
2349820,"Action, Adventure, Massively Multiplayer, RPG, Free to Play","Multi-player, MMO, PvP, Online PvP, Steam Achievements, In-App Purchases, Remote Play Together","{'coming_soon': False, 'date': '17 May, 2023'}"
2368470,"Casual, Indie, Free to Play","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards","{'coming_soon': False, 'date': '16 Nov, 2023'}"
544610,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '31 Aug, 2017'}"
226620,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '18 Apr, 2023'}"
2391710,"Action, Adventure, Casual, Indie, RPG, Simulation, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud","{'coming_soon': False, 'date': '10 Nov, 2023'}"
1092040,"Action, Indie","Single-player, Full controller support","{'coming_soon': False, 'date': '15 Dec, 2020'}"
443910,Simulation,"Single-player, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '16 Jun, 2016'}"
2484110,"Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases","{'coming_soon': False, 'date': '6 Dec, 2023'}"
2529130,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud","{'coming_soon': False, 'date': '31 Aug, 2023'}"
2594640,"Action, Adventure, RPG, Simulation",Single-player,"{'coming_soon': False, 'date': '8 Dec, 2023'}"
2140510,"Casual, Indie, RPG, Strategy, Free to Play","Multi-player, PvP, Online PvP, Steam Achievements, In-App Purchases","{'coming_soon': False, 'date': '25 Aug, 2023'}"
630360,"Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Captions available","{'coming_soon': False, 'date': '19 Jul, 2017'}"
1188260,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud","{'coming_soon': False, 'date': '22 Dec, 2019'}"
1035510,"Action, Adventure, Casual, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '8 Dec, 2020'}"
311250,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, VR Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '17 Sep, 2014'}"
334670,,,
7860,Action,"Single-player, Multi-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '20 May, 2009'}"
32330,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '8 Jul, 2009'}"
21120,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '21 May, 2010'}"
42670,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '30 Jun, 2010'}"
99810,,,
63950,Simulation,"Single-player, Multi-player, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Family Sharing","{'coming_soon': False, 'date': '19 Jul, 2011'}"
57900,Action,"Single-player, Multi-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '9 Jun, 2011'}"
12130,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '6 Jan, 2011'}"
212630,Action,"Single-player, Multi-player, Co-op","{'coming_soon': False, 'date': '26 Jun, 2012'}"
4720,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2012'}"
3270,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '30 Oct, 2007'}"
6920,Action,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Mar, 2007'}"
6980,Action,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Mar, 2007'}"
8080,Action,"Single-player, Multi-player, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '13 Dec, 2007'}"
242960,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '24 Sep, 2013'}"
407810,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '3 Jun, 2016'}"
259170,"Action, Adventure","Single-player, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2013'}"
460810,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '25 May, 2017'}"
728740,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '13 May, 2019'}"
964800,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '23 Sep, 2022'}"
969990,"Action, Adventure, Casual","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '23 Jun, 2020'}"
996580,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '3 Sep, 2019'}"
548570,Action,"Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '13 May, 2019'}"
1920490,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '7 Mar, 2023'}"
2096610,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '17 Nov, 2022'}"
17710,"Action, Strategy","Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '26 Sep, 2011'}"
608110,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '3 May, 2018'}"
15380,Strategy,"Single-player, Family Sharing","{'coming_soon': False, 'date': '10 Oct, 2008'}"
1630,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '6 Jul, 2006'}"
1640,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '6 Jul, 2006'}"
65600,RPG,"Single-player, Family Sharing","{'coming_soon': False, 'date': '22 Mar, 2011'}"
227260,Utilities,,"{'coming_soon': False, 'date': '29 Mar, 2013'}"
1281800,"Adventure, Free to Play, Indie","Single-player, Steam Achievements, Steam Cloud","{'coming_soon': False, 'date': '29 Apr, 2020'}"
1286530,"Action, Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '30 Apr, 2020'}"
1287840,"RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '21 Oct, 2021'}"
34190,Racing,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '3 Mar, 2010'}"
3330,Casual,"Single-player, Family Sharing","{'coming_soon': False, 'date': '30 Aug, 2006'}"
280180,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Support, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '31 May, 2017'}"
439350,"Action, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Family Sharing","{'coming_soon': False, 'date': '11 Nov, 2019'}"
513510,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '4 Nov, 2016'}"
529110,"Adventure, Indie, Free to Play","Single-player, Partial Controller Support, Commentary available","{'coming_soon': False, 'date': '21 Oct, 2016'}"
542310,"Adventure, Free to Play, Indie",Single-player,"{'coming_soon': False, 'date': '13 Oct, 2016'}"
589870,"Action, Adventure, Casual, Free to Play, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats","{'coming_soon': False, 'date': '12 May, 2017'}"
624270,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '27 Sep, 2017'}"
637850,"Adventure, Free to Play, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support","{'coming_soon': False, 'date': '27 May, 2017'}"
659190,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'coming_soon': False, 'date': '10 Nov, 2017'}"
696140,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '2 Oct, 2017'}"
715220,"Action, Free to Play","Multi-player, PvP, Online PvP, In-App Purchases, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '18 Dec, 2019'}"
809870,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '4 Sep, 2018'}"
813630,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '5 Apr, 2019'}"
553660,"Action, Casual, Free to Play, Indie","Multi-player, PvP, Online PvP, Partial Controller Support","{'coming_soon': False, 'date': '6 Apr, 2018'}"
885640,"Indie, Simulation, Free to Play","Single-player, Steam Achievements","{'coming_soon': False, 'date': '13 Jul, 2018'}"
908050,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '16 Jul, 2019'}"
519860,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '10 Dec, 2018'}"
1028570,Indie,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together","{'coming_soon': False, 'date': '12 Mar, 2019'}"
1037130,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Mar, 2021'}"
1086410,"Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '4 Dec, 2020'}"
1105620,"Action, Casual, Indie","Single-player, Steam Achievements, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '26 Aug, 2019'}"
1122720,"Action, Casual","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '12 Dec, 2019'}"
382560,"Action, Adventure, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '19 Sep, 2019'}"
1227800,"Action, Free to Play, Sports, Strategy","Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': '21 Feb, 2020'}"
555000,"Action, Early Access","Multi-player, PvP, Online PvP, Steam Achievements, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '10 Jul, 2019'}"
1377150,"Adventure, Casual","Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud","{'coming_soon': False, 'date': '28 Aug, 2020'}"
584640,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '24 Sep, 2021'}"
2231450,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '26 Jan, 2023'}"
2291760,"Action, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '31 Mar, 2023'}"
19980,"Action, Adventure","Single-player, Family Sharing","{'coming_soon': False, 'date': '10 Dec, 2008'}"
356330,,,
650700,"Adventure, Casual, Free to Play, Indie","Single-player, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': 'Jan 9, 2018'}"
740250,"Free to Play, Indie, Massively Multiplayer, Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Partial Controller Support, Includes level editor","{'coming_soon': False, 'date': '4 May, 2018'}"
1761390,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Family Sharing","{'coming_soon': False, 'date': '26 May, 2022'}"
33900,"Action, Simulation, Strategy","Single-player, Multi-player, Co-op, Captions available, Partial Controller Support, Includes level editor, Family Sharing","{'coming_soon': False, 'date': ''}"
245130,,,
241560,"Action, Massively Multiplayer, Racing","Single-player, Multi-player, MMO, In-App Purchases, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '2 Dec, 2014'}"
12250,,"Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': ''}"
1526180,"Adventure, Indie, Massively Multiplayer, RPG","Multi-player, PvP, LAN PvP, Co-op, LAN Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '12 Nov, 2021'}"
672630,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '28 Jan, 2021'}"
691020,"Violent, Gore, Action, Free to Play, Indie, Massively Multiplayer",Multi-player,"{'coming_soon': False, 'date': '22 Feb, 2018'}"
1136380,"Simulation, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '22 Aug, 2022'}"
1179680,"Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '24 Jul, 2020'}"
816180,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '26 Apr, 2018'}"
1421230,Adventure,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '8 Oct, 2020'}"
1449690,Adventure,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2020'}"
320240,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '10 Aug, 2018'}"
914620,"Action, Adventure, Indie, Simulation, Early Access","Single-player, Family Sharing","{'coming_soon': False, 'date': '14 Aug, 2018'}"
1743830,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '20 Jul, 2023'}"
40400,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '21 Oct, 2009'}"
65560,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '25 Feb, 2011'}"
729460,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '2 Nov, 2017'}"
802200,"Action, Indie, Free to Play","Single-player, Full controller support, Steam Cloud, Steam Leaderboards","{'coming_soon': False, 'date': '22 Nov, 2019'}"
321400,"Action, Casual, Free to Play, Indie, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats","{'coming_soon': False, 'date': '8 Feb, 2019'}"
703940,Sports,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '8 Sep, 2017'}"
822240,"Adventure, Free to Play, Massively Multiplayer, Simulation, Early Access","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '11 Dec, 2018'}"
2237980,"Adventure, Casual, Indie",Single-player,"{'coming_soon': False, 'date': '17 Dec, 2022'}"
298520,"Action, Indie, Simulation, Free to Play","Single-player, Multi-player, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together","{'coming_soon': False, 'date': '7 Aug, 2014'}"
1238000,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards","{'coming_soon': False, 'date': '11 Jun, 2020'}"
215550,"Violent, Gore, Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing","{'coming_soon': False, 'date': '31 Oct, 2016'}"
251270,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Apr, 2016'}"
252610,"Action, Indie, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '21 Jul, 2016'}"
253250,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Trading Cards, Steam Workshop, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '25 Jul, 2018'}"
264260,"Violent, Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '11 Aug, 2014'}"
269770,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '29 Feb, 2024'}"
270410,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '15 Apr, 2016'}"
284410,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '26 Apr, 2016'}"
284990,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '30 Apr, 2015'}"
324060,,,
301990,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '3 Jul, 2014'}"
312780,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '23 Jul, 2015'}"
345080,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '28 May, 2015'}"
314320,"Casual, Indie, Simulation, Strategy","Single-player, Family Sharing","{'coming_soon': False, 'date': '8 Aug, 2014'}"
315460,"Action, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '10 Jul, 2018'}"
317100,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Steam Leaderboards, Commentary available","{'coming_soon': False, 'date': '25 Feb, 2015'}"
