ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas
392030,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,499,0,
385240,Simulation,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Includes level editor, Family Sharing",,0,1,499,0,
392930,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing",,0,0,499,0,
393600,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",,0,0,299,0,
393950,"Action, Indie","Single-player, Multi-player, Co-op, Full controller support, Steam Trading Cards, Family Sharing",,1,0,899,0,
393980,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,499,0,
394280,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,374,0,
395140,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",,0,0,799,0,
395420,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,899,0,
332390,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",,0,0,89,0,
396530,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing",,0,0,199,0,
370170,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,399,0,
397570,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing",,1,0,199,0,
400410,"Adventure, Casual, Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing",,0,0,1999,0,
400790,"Action, Indie","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,1099,0,
401840,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together, Family Sharing",,1,0,999,0,
