ID del juego,Géneros,Categorías
340330,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
340340,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
340360,"Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
340390,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
340440,"Action, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing"
340470,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing"
340490,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing"
340570,"Casual, Indie, Simulation, Strategy, Early Access","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing"
340580,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing"
340720,"Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
340860,"Action, Indie, Simulation","Single-player, VR Supported, Steam Trading Cards, VR Support, Partial Controller Support, Family Sharing"
341270,"Indie, RPG, Early Access","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing"
341380,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing"
341470,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
341530,"Action, Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing"
341690,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
340750,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing"
341780,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
341870,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing"
341950,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Includes level editor, Family Sharing"
342100,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing"
342130,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Includes level editor, Family Sharing"
342350,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
342360,"Adventure, Casual, Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing"
342450,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
342500,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
342510,"Casual, Indie, RPG","Single-player, Steam Trading Cards, Family Sharing"
342880,,
342890,"Casual, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Family Sharing"
343020,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing"
343280,"Action, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing"
343340,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
343390,Casual,"Single-player, Steam Trading Cards, Family Sharing"
240620,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
342490,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
343930,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
340250,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing"
344440,"Adventure, Casual","Single-player, Steam Trading Cards, Family Sharing"
344500,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing"
344630,Adventure,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing"
344840,"Indie, Simulation, Strategy","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing"
344880,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing"
345090,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
345340,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
345750,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
