ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados,Minutos jugadas Totales
212630,Action,"Single-player, Multi-player, Co-op","{'date': '26 Jun, 2012'}",1.0,19,1999,0,,26/06/2012 00:00,4304,7681
4720,Action,"Single-player, Family Sharing","{'date': '29 Oct, 2012'}",0.0,9,1495,0,,29/10/2012 00:00,4179,1240
3270,Action,"Single-player, Multi-player, Family Sharing","{'date': '30 Oct, 2007'}",1.0,6,499,0,,30/10/2007 00:00,6005,106
6920,Action,"Single-player, Full controller support, Family Sharing","{'date': '29 Mar, 2007'}",0.0,9,699,0,,29/03/2007 00:00,6220,32
6980,Action,"Single-player, Full controller support, Family Sharing","{'date': '29 Mar, 2007'}",0.0,12,899,0,,29/03/2007 00:00,6220,1059
8080,Action,"Single-player, Multi-player, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'date': '13 Dec, 2007'}",1.0,1,0,0,,13/12/2007 00:00,5961,2557
242960,Action,"Single-player, Family Sharing","{'date': '24 Sep, 2013'}",0.0,2,699,0,,24/09/2013 00:00,3849,454
407810,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing","{'date': '3 Jun, 2016'}",0.0,3,1999,0,,03/06/2016 00:00,2866,2170
259170,"Action, Adventure","Single-player, Family Sharing","{'date': '29 Oct, 2013'}",0.0,5,999,0,,29/10/2013 00:00,3814,30
460810,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '25 May, 2017'}",0.0,13,1999,0,,25/05/2017 00:00,2510,3502
728740,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '13 May, 2019'}",1.0,45,999,0,,13/05/2019 00:00,1792,1746
964800,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Includes level editor, Family Sharing","{'date': '23 Sep, 2022'}",1.0,70,2499,0,,23/09/2022 00:00,563,569
969990,"Action, Adventure, Casual","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '23 Jun, 2020'}",1.0,85,2999,0,,23/06/2020 00:00,1385,4272
996580,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'date': '3 Sep, 2019'}",0.0,281,3999,0,,03/09/2019 00:00,1679,31735
548570,Action,"Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '13 May, 2019'}",0.0,84,3999,0,,13/05/2019 00:00,1792,6418
1920490,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'date': '7 Mar, 2023'}",0.0,192,5999,0,,07/03/2023 00:00,398,1741
2096610,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '17 Nov, 2022'}",0.0,90,2999,0,,17/11/2022 00:00,508,806
17710,"Action, Strategy","Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing","{'date': '26 Sep, 2011'}",1.0,0,999,0,,26/09/2011 00:00,4578,1283
608110,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'date': '3 May, 2018'}",1.0,1,499,0,,03/05/2018 00:00,2167,63
15380,Strategy,"Single-player, Family Sharing","{'date': '10 Oct, 2008'}",0.0,37,999,0,,10/10/2008 00:00,5659,383
1630,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'date': '6 Jul, 2006'}",1.0,57,599,0,,06/07/2006 00:00,6486,15435
1640,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'date': '6 Jul, 2006'}",1.0,44,599,0,,06/07/2006 00:00,6486,13430
65600,RPG,"Single-player, Family Sharing","{'date': '22 Mar, 2011'}",0.0,21,999,0,,22/03/2011 00:00,4766,89
227260,Utilities,,"{'date': '29 Mar, 2013'}",,0,3999,0,,29/03/2013 00:00,4028,54
1281800,"Adventure, Free to Play, Indie","Single-player, Steam Achievements, Steam Cloud","{'date': '29 Apr, 2020'}",0.0,35,0,0,,29/04/2020 00:00,1440,410
1286530,"Action, Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing","{'date': '30 Apr, 2020'}",0.0,0,0,0,,30/04/2020 00:00,1439,3
1287840,"RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '21 Oct, 2021'}",1.0,75,999,0,,21/10/2021 00:00,900,378
34190,Racing,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '3 Mar, 2010'}",1.0,26,999,0,,03/03/2010 00:00,5150,587
3330,Casual,"Single-player, Family Sharing","{'date': '30 Aug, 2006'}",0.0,650,499,0,,30/08/2006 00:00,6431,3484
280180,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Support, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing","{'date': '31 May, 2017'}",1.0,3,1999,0,,31/05/2017 00:00,2504,3574
439350,"Action, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Family Sharing","{'date': '11 Nov, 2019'}",1.0,0,0,1,,11/11/2019 00:00,1610,65976
513510,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '4 Nov, 2016'}",1.0,3,299,0,,04/11/2016 00:00,2712,3088
