ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados
406290,"Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Stats, Steam Turn Notifications, Family Sharing","{'date': '13 Apr, 2016'}",1,83,999,1,13/04/2016 00:00,2917
451020,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '3 Oct, 2017'}",0,21,2999,0,03/10/2017 00:00,2379
471810,"Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '13 Mar, 2017'}",1,5,1499,0,13/03/2017 00:00,2583
502370,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '19 Jan, 2017'}",1,31,2999,0,19/01/2017 00:00,2636
545040,"Adventure, Casual, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '5 Apr, 2019'}",1,2,199,0,05/04/2019 00:00,1830
553540,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '28 Feb, 2023'}",0,40,2999,0,28/02/2023 00:00,405
556440,"Action, Adventure, Indie","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '13 Aug, 2019'}",1,0,0,0,13/08/2019 00:00,1700
573410,"Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '22 Oct, 2019'}",1,10,499,0,22/10/2019 00:00,1630
603460,Strategy,"Single-player, Multi-player, PvP, Online PvP, Family Sharing",,1,0,699,0,-1,1398
612570,"Indie, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",,1,3,1999,0,-1,1398
633060,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,5,999,0,-1,1398
661940,"Indie, Sports","Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on TV, Remote Play Together, Family Sharing",,1,0,499,0,-1,1398
236690,"Sports, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",,1,195,1999,1,-1,1398
674930,"Indie, RPG, Simulation","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,9,1999,0,-1,1398
679110,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,7,2999,0,-1,1398
716500,Indie,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,2,1499,0,-1,1398
716640,"Simulation, Strategy","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing",,0,3,1799,0,-1,1398
798490,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,19,2999,0,-1,1398
812160,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",,0,0,1699,0,-1,1398
812550,"Action, Indie","Single-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing",,0,1,1999,0,-1,1398
839770,"RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",,0,277,2499,0,-1,1398
842910,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing",,0,0,2999,0,-1,1398
854940,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing",,0,5,1999,0,-1,1398
885970,Strategy,"Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",,1,1130,2999,0,-1,1398
898920,Strategy,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Partial Controller Support, Family Sharing",,1,692,1999,0,-1,1398
899310,"Action, Adventure, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,0,1999,0,-1,1398
909320,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Family Sharing",,0,6,2499,0,-1,1398
559100,"Action, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",,1,42,3999,0,-1,1398
957720,Strategy,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen, Steam Cloud, Remote Play Together, Family Sharing",,1,89,3999,0,-1,1398
995980,"RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,11,1999,0,-1,1398
1075190,Strategy,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Family Sharing",,1,37,1999,0,-1,1398
1075740,"RPG, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,37,1999,0,-1,1398
1155970,"Adventure, Indie, RPG","Single-player, Steam Achievements, Family Sharing",,0,37,1099,0,-1,1398
