ID del juego,Repeticiones,Minutos Totales
403640,94,108211
544920,111,31953
552500,187,311590
558100,22,5335
524220,72,150309
572520,11,1182
646570,73,229934
677620,133,73743
611500,132,999248
720560,2,517
469600,16,681505
760160,154,70619
770720,17,65870
782330,98,94854
809960,46,5543
360620,10,1544
884660,148,25501
1059980,2,395
1094710,8,1323
374280,44,52822
1217060,57,160990
1245620,207,1268921
1273710,23,2504
1286830,75,79384
1416260,6,1829
843380,79,45429
582660,159,2804622
1557990,23,2810
1587130,2,1200
823130,237,48886
1240440,180,191639
1745510,2,1105
1782210,419,120570
1599340,251,1342475
1966720,256,255542
2067920,2,1241
2073850,287,224423
2088570,1,1983
2075730,37,6827
668580,20,27456
2187290,4,1561
1938090,458,1720463
2218750,10,8657
2334730,12,14268
2321470,12,8962
1627720,10,19041
1716740,39,127180
1086940,140,826151
212500,36,21057
237310,27,132881
1623730,151,361365
282660,220,195189
530620,56,3608
218620,922,3290439
732730,7,250
504370,189,133700
755790,305,183361
1961460,58,6788
1721470,85,10678
4000,696,10507702
12210,194,313948
8190,153,141603
70000,71,12487
620,491,1196713
92100,23,2889
104900,81,14178
214340,32,11327
223470,165,86236
226320,53,32675
252950,412,9107515
270450,10,2626
291010,32,3639
293860,5,1549
263060,35,10753
296470,52,8825
323850,107,1099442
331470,53,62793
318100,14,5837
339610,90,26053
334040,9,1275
349700,63,34241
365300,33,2465
348670,10,1519
378370,27,4807
291550,661,1670988
306040,24,3537
314020,23,3847
355150,19,3387
391260,26,4525
341310,34,5821
396160,30,4988
399790,34,6165
407230,33,8990
429700,7,904
424280,46,4739
440760,21,4048
259080,111,89125
335240,156,90864
678950,57,116540
1201240,12,96105
1209040,34,11589
1623660,75,2163337
1644490,7,1524
4500,51,46145
20510,30,32528
41700,33,39229
105600,541,3804664
227300,539,3945106
236390,522,5482593
242760,569,936070
107410,274,6287075
262060,97,245286
108600,258,833329
274190,86,58780
287390,120,97861
294100,64,653968
305620,106,88659
252490,516,14162442
700580,46,6150
346110,426,5225281
407530,114,16324
322330,479,1071786
341940,25,9337
393380,112,576122
225540,185,235808
391220,130,153686
275850,150,542565
457140,62,169321
470220,131,221241
327030,54,25689
489830,206,1087633
493520,58,62114
495420,47,112152
500260,7,1071
513710,98,589672
518790,165,232074
289070,199,980043
312660,114,84006
526870,70,278527
548430,160,513538
447040,84,137168
438740,106,143092
594650,156,886199
602960,66,156337
657200,167,39934
671860,118,151987
674940,203,70664
699920,14,2417
700330,304,639916
629520,146,1627915
466240,380,288764
813780,105,292926
304390,233,1155696
881100,43,30034
892970,274,869968
412020,80,88408
1449560,56,33263
958260,23,16845
976890,5,1123
581320,94,298660
1044200,8,995
1081510,2,140
1091500,241,1224411
1092790,27,16357
1100990,4,657
1118200,44,55232
1144200,125,146920
1085660,385,4234199
1167630,30,29060
1172620,243,875278
1180380,82,13920
359550,627,11546109
1131720,29,7137
1238840,103,183947
952060,49,23379
952070,16,2647
1262350,5,3322
203160,299,242741
1274570,149,65664
1293230,37,6758
1151340,52,332477
1361210,31,168268
1418630,12,35034
1435790,39,22833
1455840,17,6253
1477830,10,137543
824270,49,74479
43110,151,43167
1593310,4,182
534380,96,304243
1797880,46,67181
1850740,31,15073
1519310,1,1
70,227,158829
400,246,67589
33910,110,29236
33930,106,1301004
219540,32,13738
70600,30,13840
24240,166,91516
217200,34,8625
17080,53,28267
51100,53,25968
248570,94,48602
265630,141,71023
224580,81,42187
244210,209,708560
206420,172,184548
268850,40,145523
228380,42,56602
272860,12,855
298240,58,9936
301520,318,456505
306020,18,28668
291480,384,335970
227940,431,363897
255710,203,501494
373330,12,223
380840,36,3853
389730,95,486195
208650,117,877464
310950,38,119853
431240,138,87160
444640,102,63767
460930,98,304095
479130,73,54320
582500,113,12085
584210,24,7165
506540,141,61057
641990,93,1104003
648800,288,399754
378860,41,70795
677160,36,7746
690790,50,90873
791930,24,1047
815370,98,96930
552520,177,1369441
865360,28,9511
868270,77,52332
646910,56,186195
960090,161,510682
976310,124,273199
1046930,366,1680681
1106850,30,1416
285900,114,45982
1128810,171,94998
1172380,75,62397
1276390,34,18373
1241100,88,14628
1302240,30,11877
1326470,145,153940
1341290,13,8577
1408610,5,5220
1496790,13,22032
1517290,86,233849
1551360,69,314413
674020,81,61174
916440,26,33032
2369390,19,31230
1203220,98,223467
109600,143,168919
319910,16,5003
332070,26,7371
365670,130,698394
292030,438,3669935
397900,487,334641
413150,269,1392317
442080,45,107052
24200,22,20794
706220,48,47073
1025580,18,1341
1056600,4,413
1195460,19,2559
1254120,27,9599
1301720,74,5806
1346070,5,666
408900,33,4281
1361000,30,6039
1404210,65,260240
1453490,43,7156
1590320,74,10386
625340,22,14101
1928420,113,189730
1977530,90,7991
1987080,50,19015
72850,235,1442577
11020,123,44541
295110,86,267475
304050,318,676702
438040,80,365736
489940,18,13450
454650,43,106678
814380,102,309381
1070330,15,8180
1173370,52,15698
933110,57,58128
19900,31,24790
45740,30,14845
57300,89,30540
22380,103,368937
42700,78,152515
42710,73,156193
219150,100,49620
208480,30,48704
220240,148,291062
202970,113,45742
202990,131,503188
212910,128,197398
253710,199,41995
242860,43,34919
252330,26,7065
265210,23,6094
270880,103,575827
224480,16,2575
274170,68,65560
274520,24,12249
280160,23,6749
254700,91,90418
301640,60,56641
9900,30,31137
313120,31,46207
307690,105,78334
238320,251,1000261
327890,23,4166
321360,5,8071
274940,62,33393
298110,70,124554
332950,33,1906
349760,1,2
355840,109,84930
361990,5,1171
362890,85,88376
368360,47,9886
1012880,40,6805
386880,7,861
401680,15,1972
414700,95,39996
418460,58,461013
429720,4,414
438100,448,1336906
443110,5,1099
446020,11,3271
455120,5,729
50130,76,120554
1030830,49,32532
516750,36,107574
360430,54,101352
418370,74,64835
